Titel;Billede;Kommentar;Udlån
Beyer Dynamic M58;NeyerDynamicM58.PNG;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Beyerdynamic MC836 Shotgun;BeyerdynamicMC836.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Binaural Enthusiast Dummyhead incl. Mikrofoner;BinaturalEnthusiastDummyhead.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
DPA Hydrophone;DPAHydrophone.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
DPA SMK4060 Lavalier stereo Microphone kit;DPASMK4060Lavalier.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Earthworks M30 HDM målemikrofon;EarthworksM30.png;Til akustik-målinger;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Heil Sound PR40;HeilSoundPR40.jpg;Dynamisk mikrofon;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
JRF Piezo kontakt mikrofoner;JRFPiezo.JPG;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
JRF Piezo hydrofoner;;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
LeWitt LCT 540 S;https://dt7v1i9vyp3mf.cloudfront.net/styles/header/s3/imagelibrary/l/lewitt-540sz_01-4WWipsknk1P9ULWWqkDOfMBn1lR60cFp.jpg;Stor membran mikrofon Inklusiv Shockmount, Carrycase etc.;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Lewitt Interviewer Dynamisk mikrofon;LewittInterviewer.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Olympus Boundary Microphone ME33;OlympusBoundaryMicrophone.png;PZM mikrofon;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Olympus ME31;OlympusME31.jpg;Kompakt mini-shotgun -Plug-In-Power;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
RØDE NT6;RødeNT6.PNG;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Røde NTG-3;RødeNTG-3.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
RØDE NTG8 Lang shotgun;RØDENTG8.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
RØDE NT-SF1 Ambisonics mikrofon;RødeNT-SF1.PNG;Inklusiv Windshield, Shockabsorbtion grip, dead wombat og special 4 XLR->4track XLR kabel;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Røde Reporter;RødeReporter.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Røde SVM Videomount microphone;RødeSVMVideomount.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Sennheiser AMBEO Smart Headset Binaural Microphone;Ambeo_Smart_Headset.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Sennheiser MKH8020;SennheiserMKH8020.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Soundfield SPS200 Mikrofon;SoundfieldSPS200.png;Inklusiv SPS200 kabel;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
SOUNDMAN OKM - II Professionel Mikrofon -Studio;SoundmanOKM.PNG;inklusiv A3 Preamp Adapter;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Shure SM 58;ShureSM58.PNG;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Studio Six Digital iTestMic2;https://studiosixdigital.com/_Media/itestmic2-banner-cmyk_med.png;iOS kompatibel måle mikrofon;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Telinga PRO-5 PiP Mic;TelingaPRO-5.jpeg;Inklusiv Parabolskærm, Handle og Transport-etui;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Telinga PRO-X Stereo Parabol Mikrofon;telinga-pro-x.png;Plug-in Power (minijack) kompatibel;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Telinga UNIVERSAL MK2 Kit;telingaMK2.png;Parabol mikrofon-mount kit (minus mic) inklusiv Parabolskærm, Handle og Transport-etui;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
overskrift;Preamps;-;-
B&K DeltaTron Power Supply/PreAmp;B&KDeltaTron.jpg;Hører til B&K Accelerometre;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
DPA MMA6000 Stereo Preamp;DPAMMA6000.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
JuicedLink Ultra Portable Mixer;JuicedLinkUltraPortableMixer.jpg;Stereo Preamp;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
SoundDevices MM-1;SoundDevicesMM-1.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Soundfield SMP200;SoundfieldSMP200.PNG;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
overskrift;Andet;-;-
Røde Caster PRO;ROEDECasterPro.jpg;All-In-One Podcast System;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Beyer Dynamics DT-990 PRO Headphones;BeyerDynamicsDT-990PRO.jpeg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
RME ADI-2;RMEADI-2.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
